               石門   霞雲   高義   巴陵   嘎拉賀 玉峰   白石  鎮西堡 西丘斯山 池端
<徐昇式法權重>  4.32  17.03   9.29   7.31  10.02   9.34  11.52  12.74  14.46   3.97  
2015-09-28:04   38     26     22     17     16     11     13     10     10     20
2015-09-28:08   16     16     33     46     42     28     29     32     15     31
2015-09-28:12   25     35    108    112     74    112    113     82     38     40
2015-09-28:16   43     41     90    130    126     66     71    143    141    112
2015-09-28:20   96    143    163    144     83    100    103     93    138    151
2015-09-28:24   11     53     41     39     36     21     27     34     89     51
