 New Zealand 	7.2 	2012 	                         Oceania
 Nicaragua 	4.7 	2012 	                         America 
 Niger 	4.5 	2012 	                                 Africa
 Nigeria 	n.a. 	n.a. 	                         Africa
 North Korea 	n.a. 	n.a. 	                         Asia
 Norway 	6.9 	2012 	                         Europe
 Oman 	4.3 	2012 	                                 Asia
 Pakistan 	2.4 	2012 	                         Asia
 Palau 	9.8 	2000 	                                 Oceania
 Panama 	4.1 	2012 	                         America
 Papua New Guinea 	n.a. 	n.a. 	                 Oceania
 Paraguay 	4.1 	2012 	                         America
 Peru 	2.6 	2012 	                                 America 
 Philippines 	2.7 	2012 	                         Asia
 Poland 	5.2 	2012 	                         Europe
 Portugal 	5.8 	2012 	                         Europe
 Qatar 	2.5 	2012 	                                 Asia   
 Romania 	4.2 	2012 	                         Europe
 Russia 	4.1 	2012 	                         Europe/Asia
 Rwanda 	4.8 	2012 	                         Africa
 Saint Kitts and Nevis 	4.2 	2012 	                 America
 Saint Lucia 	4.4 	2012 	                         America
 Saint Vincent and the Grenadines 5.1 	2012 	         America
 Samoa 	5.8 	2012 	                                 Oceania
 San Marino 	3.2 	1990 	                         Europe  
 Sao Tome and Principe 	6 	2012 	                 Africa
 Saudi Arabia 	5.6 	2012 	                         Asia
 Senegal 	5.6 	2012 	                         Africa
 Serbia 	4.7 	2012 	                         Europe
 Seychelles 	4.8 	2012 	                         Africa
 Sierra Leone 	2.7 	2012 	                         Africa
 Singapore 	3.3 	2012 	                         Asia
 Slovakia 	4.2 	2012 	                         Europe 
 Slovenia 	5.7 	2012 	                         Europe
 Solomon Islands 	7.3 	2012 	                 Oceania 
 Somalia 	n.a. 	n.a. 	                         Africa
 South Africa 	6 	2012 	                         Africa
 South Korea 	5 	2012 	                         Asia
 South Sudan 	n.a. 	n.a. 	                         Africa
 Spain 	5 	2012 	                                 Europe
 Sri Lanka 	2 	2012 	                         Asia
 State of Palestine 	n.a. 	n.a. 	                 Asia
 Sudan 	n.a. 	n.a. 	                                 Africa
 Suriname 	n.a. 	n.a. 	                         America
 Swaziland 	7.8 	2012 	                         Africa
 Sweden 	7 	2012 	                         Europe
 Switzerland 	5.4 	2012 	                         Europe
 Syria 	5.1 	2012 	                                 Asia
 Tajikistan 	3.9 	2012 	                         Asia
 Tanzania 	6.2 	2012 	                         Africa
 Thailand 	5.8 	2012 	                         Asia
 Timor-Leste 	10.1 	2012 	                         Asia
 Togo 	4.6 	2012 	                                 Africa                          
 Tonga 	4.9 	2000 	                                 Oceania
 Trinidad and Tobago 	3.8 	2000 	                 America
 Tunisia 	6.2 	2012 	                         Africa
 Turkey 	2.9 	2012 	                         Asia
 Turkmenistan 	3 	2012 	                         Asia
 Tuvalu 	7.6 	1990 	                         Oceania 
 Uganda 	3.3 	2012 	                         Africa
 Ukraine 	5.3 	2012 	                         Europe
 United Arab Emirates 	1.3 	2000 	                 Asia
 United Kingdom 	5.6 	2012 	                 Europe 
 United States 	5.6 	2012 	                         America
 Uruguay 	2.9 	2012 	                         America
 Uzbekistan 	n.a. 	n.a. 	                         Asia
 Vanuatu 	5.2 	2012 	                         Oceania
 Venezuela 	3.6 	2012 	                         America
 Vietnam 	6.6 	2012 	                         Asia
 Yemen 	5.2 	2012 	                                 Asia
 Zambia 	1.3 	2012 	                         Africa
 Zimbabwe 	2.5 	2012 	                         Africa   
